,RegionName,one_month_sign,quarter_sign,year_sign,month_diff,quarter_diff,year_diff
0,8701.0,0,0,1,33.48085213005144,37.904240389751756,49.40632313807044
1,77449.0,0,0,0,5.779657091018884,7.41351761161493,8.98485029602406
2,11368.0,1,1,1,21.121975434075118,23.647410493945408,32.43949103887275
3,77084.0,0,0,0,7.279811516859451,8.933013520214052,11.257757076975441
4,79936.0,1,0,1,25.64879571111424,29.76451081108526,38.32903231132969
5,11385.0,0,0,1,38.73423508851227,44.31903334683544,59.121160054271684
6,78660.0,1,1,1,12.87023114808248,13.909042071326375,20.14714975425214
7,11208.0,0,1,1,34.205621432288844,39.0354217696253,52.07233837488083
8,90011.0,0,0,0,30.87343718235839,37.09156302419062,47.42297625420853
9,77433.0,1,1,1,17.36914174005105,19.451818053734684,26.740660868542896
10,60629.0,1,0,0,12.379018070247728,14.961193950361455,20.92680505678076
11,90650.0,0,0,0,36.5991990976327,42.937509236679915,56.55479972529013
12,91331.0,0,0,0,35.904631645967434,42.23395391776802,55.266306492737506
13,37013.0,1,1,0,9.525089866821034,10.669448966643838,15.541753689660117
14,11236.0,0,0,1,32.95836076095679,37.791062772758686,50.251448618457324
15,10467.0,0,1,1,5.50714188454193,5.707334117548871,8.855675905432571
16,11373.0,1,1,1,22.15412318007528,25.11309280985552,34.19187494092335
17,11226.0,0,1,1,35.55586251025315,40.533715724759084,53.98018053629218
18,11207.0,0,1,1,30.004800047784254,34.055087168261096,45.43841084418029
19,30044.0,1,1,0,10.083447556028366,11.175041180684982,16.70492087219777
20,90044.0,0,0,0,32.30390424454644,38.51850427965549,49.707931339803736
21,92336.0,0,1,0,35.14577584596844,40.38539141136441,55.19974289079035
22,94565.0,1,1,1,28.44213126082226,32.15452238905273,42.32465101018752
23,92335.0,0,0,0,27.928607365571885,33.0747102087451,44.23922711665756
24,90201.0,0,0,0,33.553634080502185,39.71850320098004,52.02864039503592
25,90250.0,0,0,1,39.91014996323484,47.243258298957095,61.43763269914225
26,10025.0,1,1,1,42.83103072757512,49.39546581385419,65.73888338676807
27,75052.0,1,1,1,4.695657845526331,5.0561920621049214,8.000100069731346
28,90805.0,0,0,0,34.78797998833186,41.02744143836136,53.47845389986552
29,11214.0,0,1,1,35.14319143261697,39.31813389804702,52.8228998972984
30,60618.0,0,0,1,24.18732090710077,27.63993708587212,36.72332546323993
31,93307.0,0,1,0,1.5199724843124733,1.516935283636908,3.058269261780816
32,90280.0,0,0,0,33.85363285682228,39.78417917790427,52.35634822703032
33,11234.0,0,1,1,36.27268013290722,41.52913030579298,55.505984656325005
34,91342.0,0,0,0,38.45953721934357,45.00723221106355,59.12311638468969
35,92683.0,0,0,0,44.55305320076093,51.63911607414379,68.30586023782008
36,10314.0,0,1,1,33.5444826244456,38.243380244460795,51.14392407039393
37,11220.0,1,1,1,32.58863338983199,36.52783022068064,49.53114039138284
38,60639.0,0,0,0,0.2857447440878197,0.12952943881669873,1.1421284671359635
39,78245.0,0,0,0,10.504443640243473,12.540792790119358,15.886657077591016
40,11219.0,0,1,1,41.93004220315975,46.97108084879365,63.0788612625918
41,92503.0,1,1,0,31.661638548596233,36.32283899272952,49.70581479679258
42,11206.0,1,1,1,38.99523343281651,43.23732231077477,60.80221444809751
43,11221.0,1,1,1,42.39414216332213,47.39396941558589,64.64215194286487
44,10456.0,0,0,1,13.578380041647927,15.60428556107645,21.37105934344473
45,92345.0,0,0,0,19.369740557470063,22.998433344501585,31.233305789790155
46,77479.0,0,1,1,27.004220223603145,30.789029319618678,40.93495052805505
47,91911.0,1,1,0,37.1684659110001,42.17261451108504,57.84730150606482
48,30043.0,0,1,0,16.27444982762204,18.31847595231339,26.1028066857626
49,11223.0,0,1,1,43.255582518510494,49.28174794734359,65.68281378004106
50,78613.0,1,1,1,21.649623642501027,24.01238545433764,33.24976764475765
51,11230.0,1,1,1,38.83925187691378,43.8146918035902,58.89554857946707
52,60647.0,1,1,1,23.257732334629754,26.59392889022556,35.75876238190854
53,93033.0,0,1,1,34.58788307325346,39.4070077779311,52.79896128680748
54,95076.0,1,1,1,38.53236775352503,43.6533883524021,58.834131638231405
55,92154.0,1,1,0,36.6145027151503,41.44491333369833,57.10078084152111
56,77429.0,1,1,1,11.666976803451305,12.990063405508133,17.827878413814208
57,10458.0,0,0,1,1.520831718002626,2.4153356164218147,0.08782781868720146
58,92376.0,0,0,0,27.285848683205078,32.27813625428936,43.40357201205624
59,60804.0,0,0,0,11.75827364248366,13.870981863882761,19.215777819631054
60,11377.0,1,1,1,26.086295829748344,28.787316907642737,39.821041286818875
61,79938.0,0,0,1,15.397475181520166,17.848923923301292,22.110629322435905
62,92804.0,0,0,0,41.17671205888084,47.690322258526834,63.37766658593332
63,91710.0,0,0,0,36.82691521517766,42.967389040989545,57.80560012372168
64,93722.0,0,1,1,13.840847609623914,15.622049768960734,21.69685167111376
65,94112.0,1,1,1,43.6752693375879,49.58408216297248,64.24245948021527
66,99301.0,1,1,1,15.27151451591078,17.2439413849038,24.101458606388245
67,11235.0,0,1,1,29.557414321911093,32.72766183128751,43.95144108044036
68,60632.0,1,0,0,7.76909257270372,9.521665280177663,13.49745570883696
69,77584.0,0,1,1,12.789083601242401,14.399962824211848,19.110018668825404
70,11229.0,0,1,1,36.30842182508979,41.11615360247879,55.272392625989355
71,95823.0,1,1,1,17.932402058485934,20.066168206915492,26.685117855458767
72,60617.0,0,0,0,47.32103959360048,55.4054520784153,75.08896383360252
73,22193.0,0,0,1,23.93068062557936,27.38005483639982,35.2846090838041
74,11233.0,0,1,1,40.43256961695261,45.3083308475952,61.416023318147005
75,75217.0,0,0,0,29.719903908981898,34.69190363712946,45.35858611495836
76,10453.0,1,1,1,26.47761182464305,29.95774092708026,41.94420376803859
77,27587.0,1,1,0,25.399931857686294,28.57094544066962,39.93500191119134
78,73099.0,1,0,1,9.429455944274512,11.04019194218882,13.475217876814254
79,77379.0,1,1,1,9.958946389048144,11.005240196275997,15.022034042315052
80,96706.0,0,1,1,38.35495495653892,44.26545778349244,59.227245541527616
81,11204.0,1,1,1,43.736178722799956,49.7529285477357,66.51305208362496
82,37042.0,0,0,1,5.6718301673932245,6.7858886193284125,6.2935901552170845
83,85142.0,1,1,0,28.734511596330293,32.378030384335794,45.77584256597902
84,30024.0,0,1,0,31.52195824360651,35.97384616048267,49.24036153901067
85,10468.0,0,0,0,15.454262181735611,19.61625891234584,24.480560277108207
86,79928.0,1,0,1,13.832435786932146,16.169280274318957,19.931445682400764
87,95035.0,0,1,1,49.64917547557438,56.68016135568872,73.96818101111673
88,91744.0,0,0,0,35.394508628122516,41.4158224663598,54.38520377931169
89,60608.0,0,1,1,4.649690972391063,4.846573404982361,7.303394565132532
90,11355.0,0,1,1,28.778803222288424,32.49490251720168,44.142803684943864
91,92509.0,0,1,0,31.477980102576986,36.222030712231465,49.403704004921465
92,11203.0,0,0,1,35.03108347702689,40.337435245598854,52.99800624691573
93,93257.0,0,0,0,2.3642727727775212,2.6057209693423125,4.148326776016635
94,93550.0,0,0,0,20.471423573626716,24.04248087068168,32.34485706339508
95,60625.0,1,1,1,10.510734973449706,11.935269402441142,15.754060065699054
96,10457.0,1,1,1,16.321665767418548,19.047987346393676,26.960481866756357
97,92592.0,0,1,0,37.24886436719898,42.65818932116367,58.509591375153256
98,60623.0,0,0,0,29.604281023248344,34.93288903844565,47.441369213172386
99,95630.0,1,1,1,36.856830164239284,41.94072292945291,55.562450032651434
100,28269.0,1,1,0,9.194212723945379,10.325148105541905,16.542360978862586
