,RegionName,1_month_Change,1_quarter_change,1_year_change
0,8701.0,-32.98085213005144,-37.804240389751754,-49.80632313807044
1,77449.0,5.579657091018884,6.31351761161493,7.78485029602406
2,11368.0,-21.321975434075117,-24.547410493945407,-32.93949103887275
3,77084.0,7.079811516859451,8.033013520214052,10.057757076975442
4,79936.0,25.74879571111424,29.76451081108526,39.42903231132969
5,11385.0,-38.434235088512274,-44.31903334683544,-59.52116005427168
6,78660.0,-13.37023114808248,-15.809042071326376,-22.04714975425214
7,11208.0,-34.10562143228884,-39.235421769625304,-52.77233837488083
8,90011.0,-30.17343718235839,-35.39156302419062,-47.32297625420853
9,77433.0,-17.46914174005105,-20.251818053734684,-27.740660868542896
10,60629.0,12.579018070247727,14.661193950361454,20.12680505678076
11,90650.0,-36.1991990976327,-42.03750923667992,-56.05479972529013
12,91331.0,-35.404631645967434,-41.23395391776802,-54.96630649273751
13,37013.0,-9.625089866821034,-11.269448966643838,-15.541753689660117
14,11236.0,-32.658360760956796,-37.59106277275868,-50.65144861845732
15,10467.0,-5.50714188454193,-6.607334117548872,-9.755675905432572
16,11373.0,-22.35412318007528,-26.013092809855518,-34.79187494092335
17,11226.0,-35.55586251025315,-41.133715724759085,-55.08018053629218
18,11207.0,-29.804800047784255,-34.2550871682611,-46.03841084418029
19,30044.0,-10.183447556028366,-11.775041180684982,-16.004920872197772
20,90044.0,-31.70390424454644,-37.11850427965549,-49.607931339803734
21,92336.0,-35.045775845968436,-40.48539141136441,-54.099742890790345
22,94565.0,-28.94213126082226,-33.55452238905273,-45.32465101018752
23,92335.0,-27.728607365571886,-32.274710208745105,-43.13922711665756
24,90201.0,-32.953634080502184,-38.41850320098004,-51.42864039503592
25,90250.0,-39.510149963234845,-46.14325829895709,-61.737632699142246
26,10025.0,-42.93103072757512,-49.695465813854184,-66.63888338676807
27,75052.0,-4.795657845526331,-5.756192062104922,-8.400100069731346
28,90805.0,-34.28797998833186,-39.927441438361356,-53.27845389986552
29,11214.0,-35.14319143261697,-40.11813389804702,-53.5228998972984
30,60618.0,-23.98732090710077,-27.63993708587212,-37.52332546323993
31,93307.0,-1.5199724843124733,-1.716935283636908,-2.258269261780816
32,90280.0,-33.35363285682228,-38.78417917790427,-51.95634822703032
33,11234.0,-36.072680132907216,-41.629130305792984,-56.005984656325005
34,91342.0,-37.859537219343565,-44.00723221106355,-58.72311638468969
35,92683.0,-44.15305320076093,-50.93911607414379,-67.60586023782008
36,10314.0,-33.3444826244456,-38.4433802444608,-51.54392407039393
37,11220.0,-32.88863338983199,-37.82783022068064,-50.731140391382844
38,60639.0,-0.18574474408781966,0.029529438816698738,0.24212846713596356
39,78245.0,10.204443640243472,11.440792790119358,14.386657077591016
40,11219.0,-41.93004220315975,-47.771080848793645,-63.6788612625918
41,92503.0,-31.761638548596235,-36.72283899272952,-49.20581479679258
42,11206.0,-39.49523343281651,-44.937322310774775,-61.102214448097506
43,11221.0,-42.49414216332213,-48.79396941558589,-65.44215194286487
44,10456.0,-13.478380041647927,-15.50428556107645,-21.87105934344473
